iter	Logloss
0	0.6868547293
1	0.6827288408
2	0.6778282263
3	0.6730218545
4	0.6686604818
5	0.6642635541
6	0.659797375
7	0.6552165105
8	0.649988419
9	0.645154415
10	0.6402709178
11	0.6353320586
12	0.6298523927
13	0.6253580436
14	0.6213161273
15	0.6174494425
16	0.6135185437
17	0.6097562741
18	0.6054665003
19	0.6011214134
20	0.5973128294
21	0.5933490166
22	0.5891511868
23	0.5849244044
24	0.5799246079
25	0.5750873761
26	0.5708578061
27	0.5672849997
28	0.5625326695
29	0.5596693479
30	0.5563584352
31	0.5535761026
32	0.5503964546
33	0.5472182249
34	0.5434286656
35	0.5407239963
36	0.5378226256
37	0.5339712485
38	0.5303587302
39	0.5281916887
40	0.5237715305
41	0.5199025961
42	0.5161028153
43	0.5132061885
44	0.5098062173
45	0.5056949518
46	0.5023865822
47	0.4991519635
48	0.4961975293
49	0.4938860184
50	0.490709745
51	0.4873917408
52	0.4831686753
53	0.4803144015
54	0.4775849367
55	0.4751270001
56	0.4724217928
57	0.4701908796
58	0.4668160463
59	0.4641415034
60	0.461939934
61	0.4598366175
62	0.458094279
63	0.4553112617
64	0.452360789
65	0.4496405675
66	0.4473431905
67	0.4445819366
68	0.4416067661
69	0.4397246532
70	0.4375289526
71	0.435237102
72	0.4332827055
73	0.4309718792
74	0.428790606
75	0.4264079363
76	0.4244503608
77	0.4221474085
78	0.4194410275
79	0.4168705084
80	0.4148724874
81	0.4127704914
82	0.4099527017
83	0.4079786203
84	0.4051781679
85	0.4024748924
86	0.4004322932
87	0.3982335849
88	0.3957979985
89	0.3933328726
90	0.3919683114
91	0.3898256253
92	0.38730614
93	0.3852677468
94	0.3835096115
95	0.3817307399
96	0.3793265025
97	0.3773232974
98	0.3750811112
99	0.3734953465
100	0.3719062316
101	0.3700049474
102	0.3684135828
103	0.3667045251
104	0.364469626
105	0.362488013
106	0.3602191974
107	0.3586812631
108	0.3570381067
109	0.354801667
110	0.3526963454
111	0.351189271
112	0.3490788386
113	0.34740761
114	0.3459495398
115	0.3441908421
116	0.3425672482
117	0.3410837222
118	0.3392727192
119	0.3374163065
120	0.3360552666
121	0.3338402968
122	0.3319351245
123	0.3303326338
124	0.3287738653
125	0.326999811
126	0.3253216377
127	0.3239561228
128	0.3225383514
129	0.3209584554
130	0.318846727
131	0.3167053858
132	0.3154115677
133	0.3136928999
134	0.3122973809
135	0.3108729338
136	0.3095406263
137	0.3078602766
138	0.3061000873
139	0.3046243863
140	0.3029575592
141	0.3015758319
142	0.3000342051
143	0.2987554501
144	0.2969907614
145	0.2952949084
146	0.2939626498
147	0.2923861284
148	0.2911042434
149	0.2896244587
150	0.2887834402
151	0.2865702311
152	0.2849052136
153	0.2838884989
154	0.2825087523
155	0.2810844275
156	0.2798256018
157	0.2782982068
158	0.2768660325
159	0.275628041
160	0.2740454062
161	0.2726898193
162	0.2718544984
163	0.2705187675
164	0.269069476
165	0.2678772119
166	0.266462595
167	0.2653290675
168	0.2641947331
169	0.2630746793
170	0.2617519574
171	0.2604172535
172	0.2590477772
173	0.2574831889
174	0.2564112345
175	0.2553770359
176	0.2544124065
177	0.2531318175
178	0.2516964643
179	0.2511039881
180	0.2499823203
181	0.2488986773
182	0.2480023702
183	0.2468883319
184	0.2456083542
185	0.2446778371
186	0.2431492928
187	0.2420649895
188	0.240831962
189	0.2396805348
190	0.2386267002
191	0.2375053015
192	0.2364051525
193	0.2351029958
194	0.2340555925
195	0.2327301074
196	0.2317803212
197	0.2308314397
198	0.2301684159
199	0.2291008142
200	0.2277991466
201	0.2268526615
202	0.2257306515
203	0.2246799469
204	0.2238294161
205	0.2229246482
206	0.221999095
207	0.2208442199
208	0.2201685294
209	0.2193651444
210	0.2182670495
211	0.2173987658
212	0.2163862815
213	0.2156153459
214	0.2150788919
215	0.2139332111
216	0.2131830851
217	0.2121113753
218	0.211395875
219	0.2106017822
220	0.209662951
221	0.2091750854
222	0.2081192946
223	0.2070212242
224	0.2061955868
225	0.2053400675
226	0.2045471974
227	0.2034189029
228	0.2024364227
229	0.2013250375
230	0.2003496121
231	0.1997844011
232	0.1991964731
233	0.198536824
234	0.1976760962
235	0.1967792511
236	0.1960789118
237	0.195173398
238	0.1944781206
239	0.1934097486
240	0.1926336533
241	0.1921190971
242	0.1910182024
243	0.1904193316
244	0.1899200831
245	0.1891457729
246	0.1883508364
247	0.1875681999
248	0.1868593509
249	0.1859482496
250	0.1852338375
251	0.1843531926
252	0.1834847621
253	0.1828621595
254	0.1821665153
255	0.1814553799
256	0.1807379356
257	0.1800844364
258	0.1792655113
259	0.1784678239
260	0.1778865961
261	0.1773678462
262	0.1768200825
263	0.1760060726
264	0.175551011
265	0.1748933792
266	0.1741582064
267	0.1732878318
268	0.1725858297
269	0.1719733507
270	0.1714807902
271	0.1710068385
272	0.1706330226
273	0.1699719184
274	0.1695299149
275	0.1688786042
276	0.1682869593
277	0.1674722158
278	0.166922716
279	0.1663711377
280	0.165717883
281	0.16519055
282	0.1644426493
283	0.1639413834
284	0.1634669182
285	0.1629435955
286	0.1621733568
287	0.161677116
288	0.1608496568
289	0.1604134242
290	0.1599226242
291	0.1592526803
292	0.1588237224
293	0.1581546588
294	0.1575296109
295	0.1568912115
296	0.1562630702
297	0.1555568377
298	0.1548619637
299	0.1544992985
300	0.154036473
301	0.153493221
302	0.153113304
303	0.152609116
304	0.1522520016
305	0.1517285323
306	0.1511309208
307	0.1506697092
308	0.1501729305
309	0.1495976693
310	0.1492525736
311	0.1487660408
312	0.1483524763
313	0.1474532592
314	0.1470325788
315	0.146606592
316	0.1461677062
317	0.1457818349
318	0.1453328988
319	0.1449043323
320	0.1445407623
321	0.1442229442
322	0.143918013
323	0.1434166982
324	0.1430357909
325	0.1427360315
326	0.1422223311
327	0.141540454
328	0.1409352254
329	0.1404586083
330	0.1400846579
331	0.1396952042
332	0.1391731653
333	0.1387593441
334	0.1383209718
335	0.1378750434
336	0.137429433
337	0.1370211137
338	0.1365676538
339	0.1360149139
340	0.1354057116
341	0.1349132244
342	0.1344485405
343	0.133948644
344	0.1335726518
345	0.1332186185
346	0.1325884966
347	0.1323766219
348	0.1317878381
349	0.1312350615
350	0.1307548988
351	0.1304530364
352	0.1300446681
353	0.1296275334
354	0.1291975608
355	0.128949361
356	0.1284759962
357	0.1280882542
358	0.1277175561
359	0.1273728395
360	0.1270822623
361	0.1266453816
362	0.1261180731
363	0.1255779878
364	0.1253621517
365	0.1248652752
366	0.1245741844
367	0.1241507775
368	0.1238072958
369	0.1234117655
370	0.1229503949
371	0.1226179905
372	0.1221737006
373	0.1218541463
374	0.1214586527
375	0.1211938491
376	0.1209041155
377	0.120477334
378	0.1200740032
379	0.1197364636
380	0.1194402255
381	0.1191529005
382	0.1190187503
383	0.1187600111
384	0.1183860852
385	0.1180190796
386	0.1177895619
387	0.1174772703
388	0.1171326882
389	0.1169323799
390	0.1165647751
391	0.1162441449
392	0.1158091961
393	0.1153476422
394	0.1148728835
395	0.1146396123
396	0.1141783396
397	0.1138055508
398	0.1135116724
399	0.113083925
400	0.1128407503
401	0.1125683662
402	0.1120636035
403	0.111734647
404	0.1113335047
405	0.1110774065
406	0.1106275412
407	0.110306532
408	0.1098885292
409	0.1096025491
410	0.1093339676
411	0.109053893
412	0.1088109383
413	0.108609224
414	0.1082676985
415	0.1079042141
416	0.1076283577
417	0.1073379028
418	0.107063807
419	0.1069080524
420	0.1064720643
421	0.1061364076
422	0.1058145058
423	0.1054649475
424	0.1051021845
425	0.1048831328
426	0.1045613289
427	0.1041295345
428	0.1039097859
429	0.1036588595
430	0.103323912
431	0.1029027059
432	0.1025452675
433	0.1022508939
434	0.102001557
435	0.1016800342
436	0.1014740406
437	0.1011267197
438	0.1008797059
439	0.1005890797
440	0.1003195139
441	0.1000491717
442	0.09975014589
443	0.0994197283
444	0.09911836722
445	0.09895040439
446	0.09864274049
447	0.0983997614
448	0.09804582596
449	0.09781647951
450	0.09767241356
451	0.09743224046
452	0.09710524632
453	0.09678160839
454	0.09653367752
455	0.09627367289
456	0.09600792176
457	0.09579083247
458	0.09543811358
459	0.09515047073
460	0.09493052042
461	0.09465954243
462	0.09440683707
463	0.09404788873
464	0.09385981315
465	0.09356321433
466	0.09334641237
467	0.09306154496
468	0.09272295389
469	0.09247904557
470	0.09223646995
471	0.09195303306
472	0.09175541462
473	0.09158641864
474	0.09137312571
475	0.09114525868
476	0.09088716751
477	0.0905188047
478	0.09038394537
479	0.09009810594
480	0.08986131962
481	0.08956344922
482	0.08938200046
483	0.08912549875
484	0.08890350048
485	0.08864762233
486	0.08841149012
487	0.08810905921
488	0.0878540308
489	0.08759822601
490	0.08742230978
491	0.08722593845
492	0.087021736
493	0.0867873094
494	0.08655524865
495	0.0863096714
496	0.08603015313
497	0.08578158648
498	0.08560843345
499	0.08540794177
500	0.08528133539
501	0.0850953689
502	0.08491903696
503	0.08471792783
504	0.08453150285
505	0.08431377778
506	0.08399903469
507	0.08375721711
508	0.08354154
509	0.08335569577
510	0.08309685878
511	0.08288543652
512	0.08281727326
513	0.08257772984
514	0.08240298124
515	0.08216414085
516	0.08194902616
517	0.08184291155
518	0.08167161086
519	0.08147188333
520	0.08121820597
521	0.08108146374
522	0.08086971136
523	0.08072857979
524	0.08056332515
525	0.0804029856
526	0.08008805299
527	0.07984004877
528	0.07965778693
529	0.07944241548
530	0.07924432021
531	0.07903363154
532	0.07887521157
533	0.07867212173
534	0.07846943537
535	0.07826538575
536	0.07812402187
537	0.0778222512
538	0.07761433797
539	0.07738137857
540	0.07718508671
541	0.07706676385
542	0.07681479821
543	0.0766297915
544	0.07639659979
545	0.07625478353
546	0.07601033724
547	0.07573561791
548	0.07555087407
549	0.07539256414
550	0.07522485195
551	0.07504671048
552	0.0748356
553	0.07460030531
554	0.07439844425
555	0.07424513499
556	0.07410193712
557	0.07394948372
558	0.07378495657
559	0.07358118204
560	0.07338851537
561	0.07325210327
562	0.07313392713
563	0.07289251914
564	0.0726985748
565	0.07252391179
566	0.07240656095
567	0.07220834952
568	0.07198643073
569	0.07181785046
570	0.0716275802
571	0.07151439862
572	0.07135116137
573	0.07112821555
574	0.07094768377
575	0.0708364829
576	0.07070174584
577	0.07061634308
578	0.07048444259
579	0.07027743413
580	0.07008383824
581	0.06987675031
582	0.0697249816
583	0.06962471131
584	0.06946265392
585	0.06927710313
586	0.06917734024
587	0.06904888153
588	0.0689257475
589	0.06874483671
590	0.06851734259
591	0.06829944024
592	0.06810349684
593	0.06796567257
594	0.06780332174
595	0.06751791636
596	0.06740501599
597	0.06720474439
598	0.06710013365
599	0.06695391582
600	0.06679871143
601	0.06665779994
602	0.06653870069
603	0.06648635253
604	0.06628943101
605	0.06615243814
606	0.06600954594
607	0.06588245661
608	0.06575770256
609	0.06560372084
610	0.06550771762
611	0.06537397091
612	0.06522195156
613	0.06511112971
614	0.06491250258
615	0.06475158838
616	0.06463196339
617	0.06442940541
618	0.06428286357
619	0.06407632583
620	0.0639867049
621	0.06389550674
622	0.06377113782
623	0.06367564813
624	0.06355088185
625	0.06341490379
626	0.06333565101
627	0.06324908672
628	0.06304414456
629	0.06292330913
630	0.06280414875
631	0.06273487287
632	0.0625824806
633	0.06249993275
634	0.062281523
635	0.06217177098
636	0.06197354732
637	0.0618511958
638	0.06167145264
639	0.06152482522
640	0.06137582583
641	0.06123364277
642	0.06114443755
643	0.06095176477
644	0.0608098079
645	0.0606726622
646	0.06055926054
647	0.06043748367
648	0.06029872405
649	0.06020009823
650	0.06007821743
651	0.05997326435
652	0.05984770946
653	0.05971160302
654	0.05957058149
655	0.05946137966
656	0.05932713166
657	0.0592296796
658	0.05913217251
659	0.05889407794
660	0.05878780438
661	0.05867821742
662	0.05853316723
663	0.05844255594
664	0.05830234136
665	0.05819972356
666	0.05807839296
667	0.05801500418
668	0.05790868172
669	0.05784320831
670	0.05772992892
671	0.05765698506
672	0.05754033724
673	0.05744572175
674	0.05726226171
675	0.05714388383
676	0.05700086936
677	0.05690688965
678	0.05682073495
679	0.05667249973
680	0.05654971416
681	0.05643094503
682	0.05636915794
683	0.05624372531
684	0.05608898554
685	0.05598355562
686	0.05580521853
687	0.0557038784
688	0.05558007803
689	0.05550308717
690	0.05531454086
691	0.05520880528
692	0.05505886445
693	0.05491161346
694	0.05478923749
695	0.05467288311
696	0.05456223855
697	0.05445117828
698	0.05429547872
699	0.0541460942
700	0.05404112889
701	0.05389932486
702	0.05374470735
703	0.05361349155
704	0.0534913112
705	0.0533992694
706	0.05328375254
707	0.05308441015
708	0.05296515196
709	0.05285122456
710	0.05279020774
711	0.05270092304
712	0.05258060724
713	0.05248286174
714	0.05231686739
715	0.05222963675
716	0.05213627448
717	0.0520191804
718	0.05188235258
719	0.05178883748
720	0.05166693223
721	0.05156668639
722	0.05145149965
723	0.05137484502
724	0.05126507771
725	0.05114382047
726	0.05107232852
727	0.05099541407
728	0.05092286452
729	0.05085958579
730	0.05076788022
731	0.05068108363
732	0.05057492623
733	0.05043216852
734	0.0503086463
735	0.05020325
736	0.05008360056
737	0.05001970132
738	0.04995438991
739	0.04989208625
740	0.04976622875
741	0.04968145872
742	0.04964255981
743	0.04952300512
744	0.04946192717
745	0.04938367391
746	0.0492859498
747	0.04920312686
748	0.04910335785
749	0.04898585112
750	0.04889662449
751	0.04882833285
752	0.04875098131
753	0.04863971625
754	0.04855331702
755	0.04848088362
756	0.04838498739
757	0.04830328012
758	0.04818715805
759	0.04809455383
760	0.04804520118
761	0.04794735175
762	0.04787473495
763	0.0477319589
764	0.04764364316
765	0.0475329772
766	0.04747269704
767	0.04737736629
768	0.04732732589
769	0.04723355403
770	0.04717125648
771	0.0470942106
772	0.04701679792
773	0.04691525912
774	0.04682523776
775	0.04675351656
776	0.04664484049
777	0.04655704131
778	0.04646690687
779	0.04641751143
780	0.04633798355
781	0.04621339456
782	0.04611168764
783	0.04601474297
784	0.04596097347
785	0.04587703485
786	0.04578985618
787	0.04569045703
788	0.0455417358
789	0.04540707209
790	0.04531437311
791	0.04520028677
792	0.04513156108
793	0.04507029362
794	0.04498116787
795	0.04488937671
796	0.04482894983
797	0.04474482781
798	0.04466104507
799	0.04457478646
800	0.04451306967
801	0.04445274977
802	0.04438169186
803	0.04428965006
804	0.04419287657
805	0.04413097944
806	0.04402459585
807	0.04395478811
808	0.04390844321
809	0.04384449201
810	0.04377811994
811	0.04372494649
812	0.04365441127
813	0.04358363152
814	0.04349826849
815	0.04341907073
816	0.04333838133
817	0.0432289686
818	0.04318958979
819	0.04311938775
820	0.043052331
821	0.04294506709
822	0.04289108056
823	0.04278615499
824	0.04270959206
825	0.04263097201
826	0.04254985773
827	0.04243767567
828	0.04232384303
829	0.04225476583
830	0.04218270534
831	0.04212111693
832	0.04203159381
833	0.04193967428
834	0.04184673383
835	0.04178120234
836	0.04172813281
837	0.04165538763
838	0.04157051062
839	0.04152067502
840	0.04144620895
841	0.04136455976
842	0.04129130412
843	0.04122824547
844	0.04115967873
845	0.04109345033
846	0.04100237137
847	0.04092300244
848	0.04086837402
849	0.04079793661
850	0.04071998291
851	0.0406073179
852	0.04053179117
853	0.04046453879
854	0.04038935747
855	0.04030041817
856	0.04021332814
857	0.04013462556
858	0.04008014386
859	0.04000484943
860	0.03993344001
861	0.03982543945
862	0.03977735226
863	0.03970506252
864	0.03966809847
865	0.03958329176
866	0.03953234355
867	0.03943857169
868	0.03938167523
869	0.039307524
870	0.03921526518
871	0.03916418858
872	0.03909410269
873	0.03903154532
874	0.03898314024
875	0.03891324386
876	0.03885853596
877	0.03879459699
878	0.03873850749
879	0.03865438853
880	0.03856337987
881	0.03849851779
882	0.03842204656
883	0.03837546935
884	0.03833031043
885	0.03827857971
886	0.03820927938
887	0.03813613989
888	0.03808417076
889	0.03804455048
890	0.03795062579
891	0.03787980324
892	0.03783157544
893	0.0377536737
894	0.03768498164
895	0.03761357833
896	0.03753454257
897	0.03746208166
898	0.03740181984
899	0.03733794506
900	0.03725979878
901	0.03719530961
902	0.03715623342
903	0.03708710426
904	0.03702605993
905	0.03695923243
906	0.03691948377
907	0.03682311376
908	0.03677638983
909	0.0367217125
910	0.03663080472
911	0.03656632472
912	0.03651139981
913	0.03641856022
914	0.03633587788
915	0.03626620464
916	0.03622608613
917	0.03615371081
918	0.03610612796
919	0.036009437
920	0.03595032447
921	0.0358826136
922	0.03578439737
923	0.03572035141
924	0.03565422083
925	0.0355874086
926	0.03555785693
927	0.03551311371
928	0.03544215056
929	0.03538059577
930	0.03527849148
931	0.03522688915
932	0.03516391302
933	0.03510359006
934	0.03506289996
935	0.03503267582
936	0.03496657885
937	0.03491513851
938	0.03487730026
939	0.03482500101
940	0.03475863811
941	0.03465915643
942	0.03458825136
943	0.0345092859
944	0.03445779972
945	0.03438539688
946	0.03432802054
947	0.03428039184
948	0.03421795063
949	0.0341449976
950	0.03404706564
951	0.03400707245
952	0.03394670976
953	0.03388574185
954	0.03382750047
955	0.03376418505
956	0.03370273419
957	0.03365835165
958	0.03361775936
959	0.03356410296
960	0.03351740348
961	0.03346820978
962	0.03342327705
963	0.03337415059
964	0.03332229761
965	0.03327982854
966	0.03323339805
967	0.03319646151
968	0.03314562333
969	0.03308664224
970	0.03304841274
971	0.03299139096
972	0.032950007
973	0.03290508344
974	0.03285919092
975	0.03279764224
976	0.03273278933
977	0.03268493139
978	0.03261906061
979	0.03254295618
980	0.03246190915
981	0.03238073679
982	0.03232883184
983	0.0322586084
984	0.03222017716
985	0.03216198469
986	0.03211537386
987	0.0320545435
988	0.03200448476
989	0.03195049213
990	0.03189443931
991	0.03184753198
992	0.03179115515
993	0.03172726509
994	0.03165701108
995	0.03160992647
996	0.03155625478
997	0.03148835439
998	0.03143921571
999	0.03136814863
