iter	Passed	Remaining
0	11	11160
1	17	8659
2	24	8193
3	43	10873
4	60	11989
5	81	13576
6	97	13819
7	113	14031
8	126	13980
9	140	13942
10	150	13501
11	157	12998
12	165	12559
13	176	12445
14	185	12203
15	193	11923
16	202	11706
17	210	11483
18	219	11357
19	227	11143
20	235	10998
21	244	10857
22	253	10752
23	260	10605
24	269	10513
25	278	10415
26	285	10293
27	294	10208
28	301	10109
29	310	10033
30	318	9950
31	326	9877
32	334	9800
33	342	9733
34	354	9782
35	368	9861
36	381	9920
37	391	9916
38	402	9908
39	413	9922
40	429	10041
41	444	10127
42	455	10128
43	465	10114
44	476	10107
45	486	10083
46	496	10063
47	506	10042
48	516	10018
49	527	10013
50	540	10055
51	551	10057
52	566	10114
53	589	10322
54	611	10502
55	628	10592
56	640	10592
57	650	10572
58	661	10543
59	671	10515
60	680	10475
61	690	10447
62	708	10534
63	726	10622
64	738	10616
65	749	10601
66	760	10591
67	776	10641
68	787	10623
69	799	10619
70	809	10593
71	821	10588
72	834	10598
73	844	10570
74	862	10636
75	872	10612
76	885	10617
77	898	10617
78	908	10585
79	919	10572
80	931	10571
81	941	10543
82	952	10518
83	961	10489
84	972	10464
85	984	10466
86	995	10443
87	1004	10412
88	1014	10384
89	1025	10363
90	1035	10343
91	1046	10331
92	1054	10283
93	1063	10252
94	1071	10206
95	1080	10174
96	1088	10136
97	1096	10091
98	1104	10052
99	1112	10011
100	1121	9978
101	1128	9932
102	1135	9891
103	1143	9853
104	1151	9812
105	1158	9774
106	1166	9733
107	1174	9697
108	1181	9658
109	1190	9634
110	1198	9601
111	1207	9576
112	1215	9539
113	1223	9509
114	1231	9474
115	1238	9441
116	1246	9405
117	1254	9373
118	1261	9338
119	1269	9309
120	1276	9275
121	1286	9260
122	1294	9230
123	1302	9200
124	1310	9171
125	1318	9142
126	1325	9112
127	1333	9083
128	1341	9054
129	1350	9036
130	1357	9006
131	1365	8978
132	1372	8948
133	1382	8936
